id,categories
0,8
1,7
2
3,1
4
5,4
6,11
7,11
8,1
9,7
10,8
11,1
12,7
13,8
14,9
15,7
16,4
17,3
18,11
19,11
20,2
21
22,7
23,3
24,9
25,8
26
27,9
28,5
29,1
30,11
31,4
32,11
33,7
34
35,5
36,9
37,1
38,3
39,2
40,11
41,5
42,1
43,1
44,7
45,1
46,8
47,2
48,5
49,1
50,2
51,8
52,5
53,1
54,6
55,8
56
57,3
58,2
59,5
60,5
61,5
62,2
63,5
64,1
65,2
66,11
67,8
68,11
69,5
70,7
71,3
72,3
73,8
74,1
75,2
76,6
77,11
78,8
79,1
80,7
81,9
82,1
83,11
84,3
85
86,1
87,3
88,7
89,11
90,7
91,1
92,9
93,11
94
95,2
96,11
97,9
98,2
99,7
100,8
101,8
102,1
103,5
104,2
105,8
106,6
107,4
108
109,2
110,9
111,4
112
113,9
114,1
115,8
116,1
117,9
118
119,1
120,3
121,9
122,11
123,5
124,11
125,1
126,11
127,3
128,3
129,5
130,6
131,6
132,6
133,8
134
135,5
136,3
137,11
138,8
139,8
140,5
141,2
142,7
143,7
144,5
145
146
147,11
148,4
149,4
150,6
151,1
152,3
153,1
154,4
155,8
156,2
157,7
158,8
159,5
160,3
161,5
162,5
163,2
164,2
165,4
166,9
167,1
168,1
169,1
170,2
171,9
172,8
173,3
174,7
175,6
176,1
177,5
178,8
179
180,4
181,9
182,2
183,3
184,2
185,11
186,2
187
188,1
189,4
190,4
191,7
192,11
193,7
194,5
195,7
196,11
197,3
198,9
199,11
200,9
201,4
202,5
203,1
204,8
205,1
206,11
207,8
208,7
209,1
210,5
211,11
212
213
214,2
215,8
216,2
217
218,7
219,2
220,2
221
222,1
223,9
224,2
225,1
226,11
227
228,6
229
230
231,9
232
233,4
234,6
235
236,1
237,7
238,1
239
240,2
241,3
242,11
243,6
244,9
245,11
246,3
247,9
248,11
249,3
250,6
251,5
252,1
253
254,9
255,6
256,3
257,7
258,1
259,1
260,8
261,9
262,11
263,8
264,6
265,4
266,5
267,2
268,3
269,7
270,1
271,6
272,7
273,8
274,2
275,1
276,1
277,7
278,6
279,9
280
281,5
282,11
283,8
284
285,5
286,7
287,1
288,8
289
290,11
291,6
292,8
293,6
294,3
295,9
296,3
297,2
298,2
299,2
300
301,6
302,5
303,5
304,8
305,1
306,8
307,4
308,2
309,11
310,3
311,3
312,11
313,11
314,1
315,1
316,9
317
318,1
319,11
320,8
321,9
322,3
323,1
324
325,1
326,9
327,8
328,1
329,5
330,1
331,4
332,1
333,3
334,4
335,8
336,2
337,6
338,1
339,3
340,8
341,11
342,2
343,7
344,6
345,6
346,6
347,3
348,5
349,1
350
351,3
352
353,7
354,4
355,4
356
357,8
358,8
359,1
360,1
361,3
362
363,5
364,3
365,9
366,4
367,3
368,6
369,2
370,9
371,1
372,5
373,1
374
375,8
376,4
377,4
378,8
379,8
380,7
381,2
382,11
383,5
384,6
385,8
386,8
387,1
388
389,4
390,11
391,3
392,11
393,3
394,7
395,5
396,2
397,11
398,1
399,8
400,3
401,8
402,6
403,3
404,3
405,2
406
407,2
408,1
409,7
410,4
411,1
412,3
413,8
414,7
415
416,5
417,1
418,11
419,1
420,4
421,2
422,3
423,3
424,11
425,8
426,9
427,11
428,7
429,7
430,5
431,6
432,3
433,1
434,4
435,1
436,4
437,3
438,7
439,5
440,1
441,1
442,4
443,4
444,11
445,2
446,6
447,9
448,6
449,3
450,8
451,7
452,9
453,2
454,1
455,5
456,7
457,1
458,3
459,11
460
461,1
462,1
463,3
464,3
465,5
466,6
467,1
468,5
469,8
470,2
471,3
472,7
473,8
474,9
475,9
476,2
477
478,7
479,4
480,7
481,2
482,9
483,3
484,1
485,2
486,3
487,2
488,5
489,1
490,4
491,7
492,6
493,6
494,1
495,5
496,9
497,5
498,7
499,5
500,5
501,7
502,7
503,5
504,9
505,1
506,5
507,1
508,4
509
510,6
511,5
512,1
513,7
514,5
515,2
516,1
517,6
518,3
519,9
520,11
521,5
522,8
523,3
524,6
525
526,11
527,6
528,2
529,11
530,11
531,1
532,5
533,4
534,2
535,8
536,1
537,4
538,11
539,7
540,9
541,5
542,1
543,1
544,11
545,7
546
547
548,9
549,11
550,4
551,3
552,9
553,6
554
555,8
556,6
557,5
558,9
559,7
560,1
561,1
562,1
563,4
564,4
565,11
566,3
567
568,7
569,11
570,6
571,3
572,8
573,4
574,9
575,1
576
577,1
578
579,6
580,9
581,1
582,11
583,5
584,11
585,1
586,3
587,6
588,1
589,6
590,1
591,8
592,1
593,3
594
595,2
596,6
597,7
598,8
599,9
600,6
601,1
602
603,1
604,4
605,7
606,3
607,1
608,1
609,3
610,3
611,5
612,11
613,8
614,3
615,1
616,1
617,1
618
619,11
620,7
621,4
622,3
623,1
624,1
625,1
626,1
627,7
628,6
629,3
630,5
631
632,2
633
634,5
635,7
636,8
637,1
638,1
639,4
640,1
641
642,2
643,4
644,6
645,2
646,5
647,3
648,4
649
650,8
651,11
652,7
653,7
654,1
655,8
656,6
657,4
658,6
659,7
660,6
661,7
662,2
663,7
664,8
665,1
666,8
667,2
668,9
669,11
670,11
671,6
672,5
673,2
674
675,8
676,1
677,11
678,11
679,4
680,9
681,2
682,9
683,6
684,1
685,7
686,7
687,3
688,5
689,8
690,7
691,6
692,9
693,4
694,6
695
696,1
697,9
698,3
699,7
700,1
701,9
702,6
703,7
704,3
705,2
706,1
707,2
708,1
709,1
710,4
711,6
712,11
713,1
714,5
715,2
716,4
717,11
718
719,1
720
721,8
722,8
723,9
724,3
725
726,3
727,3
728,6
729,2
730,5
731,3
732,11
733,9
734,9
735,1
736,4
737,9
738,2
739,5
740,1
741,2
742,9
743,1
744,2
745
746,5
747,1
748,3
749
750
751,11
752,3
753,11
